product_code,recommend_product_codes_concated
68993,206815#937#3108#11903#11910#221025#11906#69114#11833#8051
66259,1740#523#534#66188#854219#1898#2524#1062#9413#300
292071,3709#8913#8722#9059#2699#8761#6613#154449#8746#10871
49909,1509#11827#226041#14924#10580#11848#48302#11855#251554#159250
251426,1476#1309#685#11859#1725#604#24880#266#1021#284
647240,3236#681#74535#2872#1821#80181#3870#75358#930#74480
427870,4377#2017#1548#213443#177123#167925#1525#183049#169178#167926
34549,11927#165#293526#2542#164#2880#2369#1249#294345#9380
46250,31113#33005#330010#31412#771#151894#6268#31304#3200#8085
5278,1591#2773#2345#1684#4424#3131#6546#7684#8657#2646
791997,6561#159178#3390#3061#3079#2072#2346#3315#2479#8104
179867,4230#2464#1020#74#348977#6022#1341#5249#3005#12253
715148,4810#645#9106#850#285236#8905#8909#8910#8719#8901
856711,1042#222273#1754#1516#1551#2071#13774#42458#2070#344
55301,3394#28#222#357#1990#1353#6456#1166#1007#3800
36120,468#1868#2527#76870#80049#80128#36007#2489#3837#35834
358766,226921#155532#428486#158557#168647#2130#9683#206601#151447#7262
861865,1591#2773#2345#1684#4424#3131#6546#7684#8657#2646
863298,3414#11901#770824#373#5146#5815#11867#227912#275164#167838
666762,339627#47100#6862#1560#2756#1682#8023#3450#1562#1139
170314,11692#52836#160028#4450#1555#675#157636#3003#11808#559
799334,180754#2309#1907#9849#199715#9704#216239#50585#442975#52661
862348,12033#7670#11096#30091#30103#30039#30133#12037#30074#30093
852279,155405#189089#11956#319737#11936#219269#696119#550195#372472#158881
536938,1352#1366#156#13768#9360#3684#4789#1750#1943#7242
3916,12025#3490#11889#12021#7966#220036#60218#2775#11874#7505
183289,3655#3442#5147#3502#158282#659#1400#8623#1524#1498
294677,1614#2021#4783#8043#1276#10984#51574#207939#8006#4072
7679,3393#849#4440#2990#761#1592#164453#8392#63390#11883
275237,2411#1141#3120#5489#11474#227287#4796#3094#49724#1749
5724,192157#1538#5187#2667#7186#5088#11809#9510#26158#167766
784324,4810#645#9106#850#285236#8905#8909#8910#8719#8901
156458,3977#2472#155444#3325#3889#1496#160046#632175#411#6932
60590,31113#33005#330010#31412#771#151894#6268#31304#3200#8085
678,1162#825#837#1882#3685#57703#983#7682#10674#159331
196785,1042#222273#1754#1516#1551#2071#13774#42458#2070#344
560473,3234#508#11886#10636#2569#1604#2452#9436#26195#9405
227013,222253#227023#226970#226976#227067#226969#226971#226986#227028#226993
40456,3493#1552#1577#40964#9536#605#1049#45534#648#5480
320186,2344#192102#738#3064#9785#154380#505591#160127#6527#190310
582445,3394#28#222#357#1990#1353#6456#1166#1007#3800
159269,763#2477#1652#155883#6518#2331#14286#907#2841#831344
57918,1162#825#837#678#1882#3685#57703#983#7682#10674
855113,905#1241#7300#1078#158621#540811#855216#844926#856780#855219
4527,4532#3504#1630#1370#1629#1679#1371#5869#39520#7187
270370,3414#11901#770824#373#5146#5815#11867#227912#275164#167838
3662,7689#3611#1391#728#1707#1389#4545#1070#1387#4535
864325,763#2477#1652#155883#6518#2331#14286#907#2841#831344
272901,6561#159178#3390#3061#3079#2072#2346#3315#2479#8104
2286,2282#3385#1503#226388#228116#947#2269#13656#226390#3030
12019,3084#2525#2476#10907#6740#12039#6240#6739#2979#11637
35511,11927#165#293526#2542#164#2880#2369#1249#294345#9380
70364,2508#2444#71088#971#3242#2058#3326#11071#2013#2640
207206,11692#52836#160028#4450#1555#675#157636#3003#11808#559
444385,1462#1986#2318#854#599#851#852#3073#127#2431
156477,3414#11901#770824#373#5146#5815#11867#227912#275164#167838
61368,12025#3490#11889#12021#7966#220036#60218#2775#11874#7505
69947,495#5710#2804#857#581#11628#580#2043#3834#174
864561,339627#47100#6862#1560#2756#1682#8023#3450#1562#1139
11927,165#293526#2542#164#2880#2369#1249#294345#9380#430
854494,687#688#771030#849453#849447#854499#849458#854488#854485#849456
864305,11692#52836#160028#4450#1555#675#157636#3003#11808#559
834963,3733#846868#852196#852545#842027
35472,11927#165#293526#2542#164#2880#2369#1249#294345#9380
180927,3034#33476#2475#13742#981#1095#3072#5047#5095#2769
269973,53845#53876#7734#53877#228432#486297#435755#75068#523508#536089
6932,3977#2472#155444#3325#3889#1496#160046#632175#156458#411
852895,852898#852892#852894#852900#852893#852889#852897#852896#852899
13662,1462#1986#2318#854#599#851#852#3073#127#2431
8104,6561#159178#3390#3061#3079#2072#2346#3315#2479#3090
50509,11692#52836#160028#4450#1555#675#157636#3003#11808#559
507,20717#154010#163890#20707#18956#160025#223560#194244#495699#165404
864136,12034#2316#846#2332#3089#6572#3031#3039#6207#531
817630,2508#2444#71088#971#3242#2058#3326#11071#2013#2640
337060,3162#2424#1288#4471#475#4477#4454#5179#1292#2448
7735,1740#523#534#854219#66188#1898#2524#1062#9413#300
274650,763#2477#1652#155883#6518#2331#14286#907#2841#831344
800322,782082#783532#782083#813757
37847,12033#7670#11096#30091#30103#30039#30133#12037#30074#30093
3376,2282#3385#1503#226388#228116#947#2269#13656#226390#3030
50585,180754#2309#1907#9849#199715#9704#216239#442975#52661#51253
853195,1476#1309#685#11859#1725#604#24880#266#1021#284
862544,3084#2525#2476#10907#6740#12039#6240#6739#2979#11637
863393,3669#220793#769850#11316#10713#301340#2268#301337#220778#10868
689544,1740#523#534#66188#854219#1898#2524#1062#9413#300
499458,60345#377654#454505#451919#428734#744768#537250#454535#377652
70904,119#7474#70477#71587#7317#7472#2792#71305#56#71208
77596,3084#2525#2476#10907#6740#12039#6240#6739#2979#11637
668188,2282#3385#1503#226388#228116#947#2269#13656#226390#3030
405303,419#5296#2052#432#9398#5915#4219#4124#9433#7271
271524,3428#1477#3427#69#386#2559#2001#5841#3664#1673
801312,513#3180#405#511#4425#1568#281#25998#2723#3680
2929,495#5710#2804#857#581#11628#580#2043#3834#174
856429,1271#856826#858543#858738#855773#860537#858034#858035#858147#855775
223007,339627#47100#6862#1560#2756#1682#8023#3450#1562#1139
1288,3162#2424#4471#475#4477#4454#5179#1292#2448#2981
551665,511375#551409#511356#511363#511378#511398#602559#602486#511379#602554
14283,12033#7670#11096#30091#30103#30039#30133#12037#30074#30093
1673,3428#1477#3427#69#386#2559#2001#5841#3664#434760
226293,31113#33005#330010#31412#771#151894#6268#31304#3200#8085
816818,226921#155532#428486#158557#168647#2130#9683#206601#151447#7262
413725,1357#705#186005#9484#9712#156400#344101#227411#9677#164614
163886,339170#13645#339168#11428#9147#223850#221823#339169#11563#154493
177545,2371#4306#3614#5879#4331#1122#3166#5884#32589#4325
823796,339170#13645#339168#11428#9147#223850#221823#339169#11563#163886
35606,11927#165#293526#2542#164#2880#2369#1249#294345#9380
822789,6562#159155#11851#6487#12817#10566#11123#10925#159037#164660
61484,168681#60292#220498#220527#61483#188051#60295#60294#60282#61474
551956,511375#551409#511356#511363#511378#511398#602559#602486#511379#602554
11823,206815#937#3108#11903#11910#221025#11906#69114#11833#8051
853902,3669#220793#769850#11316#10713#301340#2268#301337#220778#10868
168017,1740#523#534#66188#854219#1898#2524#1062#9413#300
183382,1363#725#1017#1280#1888#1019#3713#1527#652#2997
28521,2617#24075#3318#2478#24196#24123#3219#3210#24181#24133
159861,3084#2525#2476#10907#6740#12039#6240#6739#2979#11637
80124,11369#7047#13734#442#12407#6813#154556#13659#3673#3671
367001,4230#2464#1020#74#348977#6022#1341#5249#3005#12253
812928,12428#1234#73440#4959#426#40#6904#1544#14320#10993
4268,1502#3163#1297#3392#4136#7233#1831#4480#2788#4668
9340,333#5877#280214
162316,1614#2021#4783#8043#1276#10984#51574#207939#8006#4072
811731,511375#551409#511356#511363#511378#511398#602559#602486#511379#602554
858073,551268#551247#552106#766882#766832#766855#766868#766850#857048#853699
2132,1342#1638#577#3814#1172#1205#2824#1343#2500#3480
63951,1363#725#1017#1280#1888#1019#3713#1527#652#2997
76542,495#5710#2804#857#581#11628#580#2043#3834#174
858303,2562#11850#12196#103#3527#188091#3526#540#17760#3462
15064,3234#508#11886#10636#2569#1604#2452#9436#26195#9405
173522,4230#2464#1020#74#348977#6022#1341#5249#3005#12253
195157,31113#33005#330010#31412#771#151894#6268#31304#3200#8085
223584,7689#3611#1391#728#1707#1389#4545#1070#1387#3662
202219,3460#159442#2915#671#157899#1077#2538#2578#1998#358
862954,763#2477#1652#155883#6518#2331#14286#907#2841#831344
852112,1504#603#353628#164331#165565#227126#226505#350700#229059#9095
450,3609#939#31135#8209#3121#5614#2512#4758#3122#4581
758009,511381#511401#602690#755361#602551#551340#857543#857540#857537#857554
174160,1342#1638#577#3814#2132#1172#1205#2824#1343#2500
70163,495#5710#2804#857#581#11628#580#2043#3834#174
834068,2272#2279#157514#2274#153992#6304#198855#7322#153993#12083
57528,4759#5546#2961#4223#5565#2896#57361#8442#57737#14944
856839,842030#846927#855771#846929#856840#862500#856838#858531#856821#855767
618487,161030#11835#14986#154562#5775#323911#218726#425072#158229#11832
252517,3428#1477#3427#69#386#2559#2001#5841#3664#1673
168334,3234#508#11886#10636#2569#1604#2452#9436#26195#9405
669250,783#976#5889#2355#14963#2388#2304#5935#5887#2389
193921,11692#52836#160028#4450#1555#675#157636#3003#11808#559
856412,8734#1233#530#1061#575#1716#570#1058#468858#1863
858083,858093#858091#858095#858092#858015#858014#858090#858094#857161#858152
23590,1664#3438#6110#2583#2678#7016#1364#1482#13677#13612
79823,447620#65312#281242#419312#364947#277445#77885#445900#329879#753200
4450,11692#52836#160028#1555#675#157636#3003#11808#559#2994
53470,53359#53361#53375#53348#53353#275261#854181#53416#159710#53364
26668,2516#27346#372#3433#216728#27344#27343#151471#2474#9523
783,976#5889#2355#14963#2388#2304#5935#5887#2389#31116
9120,160532#9114#10658#160504
862550,2434#784307#165552#814609#860907#799223#854436#854434#788850#860912
853061,8109#156624#2566#226506#157963#2144#9585#3419#6197#8321
853766,2272#2279#157514#2274#153992#6304#198855#7322#153993#12083
163876,12034#2316#846#2332#3089#6572#3031#3039#6207#531
316609,1740#523#534#854219#66188#1898#2524#1062#9413#300
258425,31113#33005#330010#31412#771#151894#6268#31304#3200#8085
584293,2282#3385#1503#226388#228116#947#2269#13656#226390#3030
433057,2126#3387#1695#726#2543#521#67#1660#56625#994
862413,6562#159155#11851#6487#12817#10566#11123#10925#159037#164660
11474,2411#1141#3120#5489#227287#4796#3094#49724#1749#6054
280163,339627#47100#6862#1560#2756#1682#8023#3450#1562#1139
862398,6562#159155#11851#6487#12817#10566#11123#10925#159037#164660
2516,27346#372#3433#216728#27344#27343#151471#2474#9523#151472
811839,1504#603#353628#164331#165565#227126#226505#350700#229059#9095
13659,11369#7047#13734#442#12407#6813#154556#3673#3671#14978
66346,1740#523#534#854219#66188#1898#2524#1062#9413#300
326327,3162#2424#1288#4471#475#4477#4454#5179#1292#2448
58046,58072#58306#57117#430802#401280#423534#468583#601632#368171
68177,3316#3411#68243#68108#12006#68093#68231#12005#69213#68347
165977,12034#2316#846#2332#3089#6572#3031#3039#6207#531
656683,2411#1141#3120#5489#11474#227287#4796#3094#49724#1749
446098,3034#33476#2475#13742#981#1095#3072#5047#5095#2769
710987,1740#523#534#854219#66188#1898#2524#1062#9413#300
271973,11963#3096#448#479#154492#1033#2484#2923#2748#213438
73255,12428#1234#73440#4959#426#40#6904#1544#14320#10993
70124,495#5710#2804#857#581#11628#580#2043#3834#174
849570,849567#853767#849660#843028#849575#857888#857885#854610#849572#854138
863464,4377#2017#1548#213443#177123#167925#1525#183049#169178#167926
62975,11692#52836#160028#4450#1555#675#157636#3003#11808#559
35421,11927#165#293526#2542#164#2880#2369#1249#294345#9380
852225,6561#159178#3390#3061#3079#2072#2346#3315#2479#8104
661064,188133#2851#1134#524#2505#6616#165206#173739#11235#2581
165493,3655#3442#5147#3502#158282#659#1400#8623#1524#1498
856455,8734#1233#530#1061#575#1716#570#1058#468858#1863
18344,18283#164241#9139#18275#9720#2686#18230#3877#18390#64598
55819,3394#28#222#357#1990#1353#6456#1166#1007#3800
168474,60338#3107#7883#3925#168204#1860#169134#9825#2413#2708
63631,1363#725#1017#1280#1888#1019#3713#1527#652#2997
2279,2272#157514#2274#153992#6304#198855#7322#153993#12083#774084
154435,513#3180#405#511#4425#1568#281#25998#2723#3680
216315,669#1926#5470#221889#192423#402346#356287#215198#697572#215200
825913,4810#645#9106#850#285236#8905#8909#8910#8719#8901
168594,1357#705#186005#9484#9712#156400#344101#227411#9677#164614
327083,12428#1234#73440#4959#426#40#6904#1544#14320#10993
18847,2670#1937#2744#2793#18867#1715#18877#18878#4422#2713
271893,3393#849#4440#2990#761#1592#164453#8392#63390#11883
861455,1504#603#353628#164331#165565#227126#226505#350700#229059#9095
191898,161030#11835#14986#154562#5775#323911#218726#425072#158229#11832
3826,3394#28#222#357#1990#1353#6456#1166#1007#3800
862353,31113#33005#330010#31412#771#151894#6268#31304#3200#8085
7749,3394#28#222#357#1990#1353#6456#1166#1007#3800
171624,1591#2773#2345#1684#4424#3131#6546#7684#8657#2646
848137,1504#603#353628#164331#165565#227126#226505#350700#229059#9095
862454,3041#13700#155918#72545#72654#13616#13728#156438#72561#13723
214827,961#3329#2650#3187#61727#61733#61760#61800#61977#160410
810922,1504#603#353628#164331#165565#227126#226505#350700#229059#9095
5981,11692#52836#160028#4450#1555#675#157636#3003#11808#559
2513,94#3781#9#3778#8#8011#3617#93#2625#100
9066,1504#603#353628#164331#165565#227126#226505#350700#229059#9095
434760,3428#1477#3427#69#386#2559#2001#5841#3664#1673
75665,165232#75817#5349#75524#169482#75607#341280#364400#350122#165382
227022,511375#551409#511356#511363#511378#511398#602559#602486#511379#602554
702828,1504#603#353628#164331#165565#227126#226505#350700#229059#9095
